time,lignite,hardcoal
01/01/2002,13361162.000,12803296.000
02/01/2002,11998514.000,10341956.000
03/01/2002,13299816.000,10697436.000
04/01/2002,12627825.000,10373168.000
05/01/2002,12331339.000,8545081.000
06/01/2002,11867076.000,8045972.000
07/01/2002,12648410.000,8416559.000
08/01/2002,12447372.000,9336583.000
09/01/2002,11689248.000,10388968.000
10/01/2002,13246184.000,10949612.000
11/01/2002,13209190.000,10542568.000
12/01/2002,13426158.000,10621172.000
01/01/2003,13527828.000,12540112.000
02/01/2003,12140756.000,12794132.000
03/01/2003,13322598.000,12195173.000
04/01/2003,12723638.000,10706616.000
05/01/2003,13173648.000,9752761.000
06/01/2003,12010924.000,8930861.000
07/01/2003,12090356.000,10976205.000
08/01/2003,12197896.000,10363603.000
09/01/2003,12268433.000,10769729.000
10/01/2003,12889707.000,11952354.000
11/01/2003,13334318.000,10669837.000
12/01/2003,13923099.000,10418194.000
01/01/2004,13591757.000,11944021.000
02/01/2004,12844383.000,11766767.000
03/01/2004,13839796.000,12285999.000
04/01/2004,12769964.000,9278853.000
05/01/2004,12473098.000,9040431.000
06/01/2004,11747910.000,9479129.000
07/01/2004,12169215.000,8998180.000
08/01/2004,11758209.000,9647790.000
09/01/2004,12595293.000,10134595.000
10/01/2004,12809934.000,10605201.000
11/01/2004,13338163.000,11385974.000
12/01/2004,14070185.000,11998372.000
01/01/2005,13738245.000,10762437.000
02/01/2005,12991204.000,11916432.000
03/01/2005,12775780.000,11678701.000
04/01/2005,11907711.000,10761326.000
05/01/2005,11724403.000,9084781.000
06/01/2005,11616537.000,9305401.000
07/01/2005,12364664.000,8894301.000
08/01/2005,12007365.000,7629825.000
09/01/2005,11624762.000,8961966.000
10/01/2005,12673203.000,9972511.000
11/01/2005,13236760.000,11686277.000
12/01/2005,13466829.000,12105737.000
01/01/2006,13767230.000,13409214.000
02/01/2006,12289844.000,12150639.000
03/01/2006,13623822.000,12439677.000
04/01/2006,11748507.000,8859026.000
05/01/2006,11949710.000,8447220.000
06/01/2006,11331549.000,9217126.000
07/01/2006,10951583.000,10393823.000
08/01/2006,11141245.000,9021137.000
09/01/2006,11277568.000,9004164.000
10/01/2006,12440381.000,10222927.000
11/01/2006,12945413.000,11628174.000
12/01/2006,13580260.000,11465926.000
01/01/2007,12600051.000,10821255.000
02/01/2007,11978345.000,11029529.000
03/01/2007,13319034.000,11353010.000
04/01/2007,11527502.000,10428506.000
05/01/2007,12015570.000,9594117.000
06/01/2007,12026962.000,9374844.000
07/01/2007,12876865.000,9252861.000
08/01/2007,13044978.000,9855934.000
09/01/2007,11805829.000,10549125.000
10/01/2007,13010601.000,12600571.000
