czone,native_wage_change,native_unemploy_rate_change,native_parti_rate_change,employ_share_m_change,card_iv,col_share,manu_share,female_share,x_c.hat,immigration_inflow_ratio
100,0.108793359,0.054729097,-0.00644385,-0.140201442,0.008259803,0.2684186,0.368018296,0.396229983,0.019273976,0.015365998
200,0.18228739,-0.55855302,-0.013599844,-0.226899005,0.00926157,0.216556588,0.372910515,0.402154506,0.01585277,0.064496098
301,-0.0073234,-0.248466597,-0.027438197,-0.294002487,0.008247029,0.197026581,0.217964039,0.359948707,-0.039147579,0.005880573
302,0.148543702,0.132432474,-0.001779691,-0.158081596,0.008880852,0.347732632,0.22967091,0.417018523,0.076005307,0.042616594
401,0.168406154,0.300217524,-0.011557995,-0.246716888,0.011972721,0.307538137,0.370560071,0.449838548,0.111521133,0.104737233
402,0.164558697,0.166533838,-0.072141277,-0.471022564,0.007591607,0.21461065,0.468557667,0.428953706,0.037619373,0.029502838
500,0.225523854,0.446078799,-0.01514924,-0.237119976,0.009135719,0.29905305,0.422614805,0.454536198,0.101302885,0.094768838
601,0.274068724,0.091454998,0.008031915,-0.411626571,0.012016673,0.245454545,0.390909091,0.432386364,0.071697351,0.055670603
602,0.150914383,-0.020764866,-0.004900112,-0.320902825,0.012905899,0.236932712,0.392260915,0.422163707,0.060111603,0.021236809
700,0.211952536,0.472400796,-0.018091452,-0.242955459,0.008799142,0.270656644,0.463600756,0.431826954,0.06196919,0.071324296
800,0.211857913,0.560871861,-0.027681825,-0.31645904,0.010437437,0.234188755,0.497066333,0.446726725,0.075277609,0.055379966
900,0.309761859,0.590184788,-0.011573148,-0.204139184,0.009335057,0.345533025,0.33064208,0.444794085,0.107166242,0.190367261
1001,0.178578276,0.042705715,-0.022079284,-0.359736919,0.010349317,0.254691647,0.381883405,0.424676189,0.058459136,0.03219599
1002,0.214059794,0.472257553,-0.026518788,-0.233077253,0.008799184,0.223675137,0.502425222,0.443270373,0.061247647,0.040857707
1100,0.262859995,0.586469831,-0.038911282,-0.203177167,0.011400023,0.235066952,0.509597732,0.448988181,0.081619196,0.099599669
1201,0.240416386,-0.321324949,0.010024229,-0.325412085,0.006624666,0.247210182,0.366138344,0.419825438,0.036151924,0.068404436
1202,0.233534056,-0.43677272,0.043076528,-0.476461211,0.003661119,0.265532252,0.336367234,0.41195093,0.021005388,0.046339807
1203,0.196866593,-0.032284827,-0.011065971,-0.287039379,0.006600429,0.314303008,0.310533181,0.427889988,0.067384478,0.08174057
1204,0.243412227,-0.317164009,0.005057226,-0.328455231,0.006732417,0.245720276,0.368559259,0.420465774,0.036850975,0.073293658
1301,0.236371199,0.427169337,-0.009014367,-0.252320829,0.008905874,0.218384697,0.429596174,0.455632306,0.078784723,0.030576729
1302,0.241378711,0.294601856,0.00129233,-0.26775727,0.003923389,0.272264046,0.30255601,0.446450528,0.068272459,0.061678826
