y,CODE,INCCITY,INVCVILLI,COLLEGE,GDP,SERVICEGDP,PERGDP,SAVING,LOAN,POP,HOUSEHOLD,HHVILLI,WORKER,WMINE,WMANU
2000,110000,10350,4687,5.16,2478.76,1445.28,22460,9759.77,5944.61,1107.5,397.91,122.41,619.3,3.09,134.19
2001,110000,11578,5099,5.51,2845.65,1721.97,25523,12121.41,7189.11,1122.3,405.3,127.63,628.88,3.1,134.5
2002,110000,12464,5880,6.76,3212.7,1998.1,28449,15276,15276,1136.3,416.2,128,679.2,3,145.2
2003,110000,13883,6496,10.52,3663.1,2255.6,32061,9224.8,11343.3,1148.8,427.6,131.1,703.3,2.47,137.78
2004,110000,15638,7172,9.96,4283.3,2570,37058,21625.9,12600.2,1162.9,439.8,132.9,854.1,2.19,151.05
2005,110000,17653,7860,11.74,6886.3,4761.8,45444,26785.9,13834.5,1538,451.7,142.2,878,2.25,154.5
2006,110000,19978,8620,13.55,7870.3,5580.8,50467,30373.3,14884.8,1197.6,463.6,142.2,919.7,2.1,99.66
2007,110000,21989,9559,13.88,9353.32,6742.66,58204,34286.3,17152,1213.3,473,176.86,942.7,2.04,102.49
2008,110000,24725,10747,14.95,10488.03,7682.07,63029,40512.67,19281.1,1229.9,481.2,189.8,980.9,4.55,96.31
2009,110000,26738,11986,15.23,12153.03,9179.19,70452.35,52730.26,24364.97,1245.8,488.7,203.8,998.3,5.03,99.45
2010,110000,29073,13262,15.02,14113.6,10600.8,75943,62041.84,28175.03,1257.8,496.1,216,1031.6,4.54,100.55
2011,110000,32903,14736,15.13,16251.93,12363.18,81658,72655.4,31791.29,1277.9,503.15,212.4,1069.7,6.72,107.78
2012,110000,36469,15365,15.52,17879.4,14141.7,87475,81389.6,43189.5,1297.5,509.2,820,1107.3,3.85,107.15
2013,110000,44563.9,17101.2,16.01,19800.8,15777.4,94648,87990.6,47880.9,1316.3,516.2,830,1141,6.76,103.49
2000,120000,8141,4370,1.9,1639.36,745.65,17993,2281.55,2000.58,912,293.04,112.07,486.89,7.1,81.27
2001,120000,8959,4825,1.91,1840.1,856.91,20154,2562.55,2159.86,913.98,295.63,112.65,488.34,7.52,77.42
2002,120000,9338,5315,2.73,2051.2,965.3,22380,3018.3,2519,919.1,299.7,112.9,492.6,8.01,71.22
2003,120000,10313,5861,4.23,2447.7,1112.7,26532,2519,3426,926,303.3,115.3,510.9,6.97,77.14
